Sr No,Sensor,Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading
1586958692700926385,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:33:00,23.58272,False
1586958692701754370,sensor03,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-13 03:17:00,22.291,False
1586958692701985838,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:49:00,5.49,False
1586958692702729192,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:33:00,18.521,False
1586958692703576762,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:49:00,14.19,False
1586958692705212259,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:50:00,33.74125,False
1586958692705426869,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:33:00,0.85,False
1586958692707638104,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:50:00,55.04828,False
1586958692707865502,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:33:00,2.279,False
1586958692708626091,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:50:00,6.497,False
1586958692710544624,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:50:00,1.93,False
1586958692710645279,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:33:00,6.737,False
1586958692712422393,sensor03,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-13 03:17:00,9.679,False
1586958692712615981,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:50:00,11.152,False
1586958692712835506,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:33:00,3.582,False
1586958692713462874,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:50:00,20.176,False
1586958692715525909,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:50:00,13.396,False
1586958692715807479,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:33:00,1.43,False
1586958692717252054,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:50:00,4.81,False
1586958692717701472,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:34:00,0.51125,False
1586958692718486238,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:51:00,18.62375,False
1586958692720924637,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:51:00,59.31776,False
1586958692721159396,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:34:00,17.66072,False
1586958692722330143,sensor03,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-13 03:17:00,6.469,False
1586958692722485567,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:51:00,-0.418,False
1586958692722721584,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:34:00,21.909,False
1586958692723753836,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:51:00,2.47,False
1586958692725980903,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:34:00,1.18,False
1586958692726194512,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:51:00,10.302,False
1586958692727126631,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:51:00,21.067,False
1586958692728130775,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:34:00,1.961,False
1586958692728866716,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:51:00,12.428,False
1586958692731058313,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:51:00,4.89,False
1586958692731239995,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:34:00,7.628,False
1586958692732595675,sensor03,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-13 03:18:00,-3.77875,True
1586958692732700338,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:52:00,15.814,False
1586958692732967528,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:34:00,3.34,False
1586958692733980001,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:52:00,8.70375,False
1586958692735979270,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:52:00,48.94392,False
1586958692736171348,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:34:00,1.24,False
1586958692736907051,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:52:00,7.055,False
1586958692737881416,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:35:00,-3.70375,True
1586958692738654571,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:52:00,3.87,False
1586958692740423671,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:52:00,12.108,False
1586958692740613356,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:35:00,12.8404,False
1586958692741786321,sensor03,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-13 03:18:00,14.852,False
1586958692741899702,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:52:00,29.226,False
1586958692742683520,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:35:00,24.308,False
1586958692743740956,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:52:00,6.14,False
1586958692745322043,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:53:00,22.42875,False
1586958692745503217,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:35:00,1.87,False
1586958692747169956,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:53:00,50.84836,False
1586958692748188790,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:35:00,2.12,False
1586958692748631585,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:53:00,7.265,False
1586958692750248674,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:53:00,3.15,False
1586958692750445895,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:35:00,10.131,False
1586958692752599369,sensor03,PER_AIRMON_MESH1976150,O3,ppb,2018-12-13 03:18:00,15.308,False
1586958692752828756,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:53:00,10.514,False
1586958692753038523,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:35:00,3.479,False
1586958692754023008,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:53:00,24.255,False
1586958692755144641,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:53:00,5.52,False
1586958692755457518,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:35:00,1.47,False
1586958692757031721,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:53:00,13.326,False
1586958692759122299,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:54:00,24.0575,False
1586958692759263073,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:36:00,0.48625,False
1586958692760241271,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:54:00,47.97948,False
1586958692760379059,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:36:00,16.92752,False
1586958692762295702,sensor03,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-13 03:18:00,4.055,False
1586958692762400398,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:54:00,8.218,False
1586958692763277118,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:36:00,17.747,False
1586958692763509938,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:54:00,11.577,False
1586958692765240043,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:54:00,27.512,False
1586958692765340705,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:36:00,1.94,False
1586958692767175098,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:54:00,14.743,False
1586958692768161427,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:36:00,2.226,False
1586958692769150396,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:54:00,5.67,False
1586958692771110530,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:54:00,3.68,False
1586958692771409541,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:36:00,10.577,False
1586958692772136312,sensor03,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-13 03:18:00,14.604,False
1586958692772439993,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:55:00,12.98,False
1586958692773046185,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:36:00,3.651,False
1586958692774011360,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:55:00,52.70768,False
1586958692775969155,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:55:00,2.461,False
1586958692776152791,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:36:00,1.52,False
1586958692776973507,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:55:00,2.96,False
1586958692777921494,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:37:00,-3.62875,True
1586958692778694287,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:55:00,10.939,False
1586958692780412591,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:55:00,24.049,False
1586958692780426076,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:37:00,13.78228,False
1586958692781851257,sensor03,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-13 03:18:00,8.542,False
1586958692781834769,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:55:00,5.18,False
1586958692782830087,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:37:00,17.807,False
1586958692783689132,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:55:00,13.741,False
1586958692785180828,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:37:00,1.54,False
1586958692785225705,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:56:00,15.16875,False
1586958692787016732,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:56:00,1.442,False
1586958692787729743,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:37:00,2.332,False
1586958692788676840,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:56:00,2.3,False
1586958692790150697,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:56:00,11.152,False
1586958692790392398,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:37:00,10.337,False
1586958692793308823,sensor03,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-13 03:18:00,6.463,False
1586958692792100314,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:56:00,21.753,False
1586958692793716599,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:37:00,4.792,False
1586958692795033263,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:56:00,13.707,False
1586958692795261228,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:37:00,2.26,False
1586958692795182246,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:56:00,5.3,False
