Sr No,Sensor,Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading
1586958692865585358,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 13:02:00,29.29125,False
1586958692867768485,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 13:02:00,52.93704,False
1586958692867953236,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:41:00,2.704,False
1586958692869238016,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 13:02:00,8.026,False
1586958692870221365,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:41:00,8.383,False
1586958692870686300,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 13:02:00,2.14,False
1586958692872097919,sensor03,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-13 03:20:00,-3.96125,True
1586958692872373383,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 13:02:00,9.823,False
1586958692872697170,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:41:00,4.446,False
1586958692874591701,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 13:02:00,19.764,False
1586958692875575048,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:41:00,1.97,False
1586958692875743906,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 13:02:00,12.255,False
1586958692877517863,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 13:02:00,4.52,False
1586958692877834962,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:42:00,-3.62875,True
1586958692879008236,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 13:03:00,22.92625,False
1586958692880464667,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:42:00,18.30368,False
1586958692880694725,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 13:03:00,47.47564,False
1586958692882401648,sensor03,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-13 03:20:00,13.47208,False
1586958692883183059,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:42:00,22.203,False
1586958692883279401,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 13:03:00,6.605,False
1586958692884075657,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 13:03:00,1.63,False
1586958692885332990,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:42:00,1.06,False
1586958692885609549,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 13:03:00,9.77,False
1586958692887318871,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 13:03:00,17.056,False
1586958692888397206,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:42:00,2.332,False
1586958692889275902,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 13:03:00,11.288,False
1586958692890648280,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:42:00,7.388,False
1586958692890824556,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 13:03:00,4.21,False
1586958692892191120,sensor03,PER_AIRMON_MESH1976150,O3,ppb,2018-12-13 03:20:00,23.013,False
1586958692892201991,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 13:04:00,5.38375,False
1586958692893048364,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:42:00,3.513,False
