Name,Variable,Units,Timestamp,Flagged as Suspect Reading,Value
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:33:00,False,3.582
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:50:00,False,20.176
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:50:00,False,13.395999999999999
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:33:00,False,1.43
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:50:00,False,4.81
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:34:00,False,0.51125
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:51:00,False,18.62375
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:51:00,False,59.31776
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:34:00,False,17.66072
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-13 03:17:00,False,6.468999999999999
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:51:00,False,-0.418
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:34:00,False,21.909000000000002
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:51:00,False,2.47
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:34:00,False,1.18
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:51:00,False,10.302
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:51:00,False,21.066999999999997
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:34:00,False,1.9609999999999999
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:51:00,False,12.427999999999999
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:51:00,False,4.89
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:34:00,False,7.627999999999999
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-13 03:18:00,True,-3.77875
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:52:00,False,15.814
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:34:00,False,3.34
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:52:00,False,8.70375
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:52:00,False,48.94392
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:34:00,False,1.24
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:52:00,False,7.055
